Boston University,ST3236,Stochastic Processes I,4,CAS MA583,Introduction to Stochastic Processes,4
Boston University,CM3225,Biomolecules,4,CAS CH373,Principles of Biochemistry,4
CentraleSupelec - Ecole Centrale Paris,EX2010,Exchange UEM,1,2SL3000,Philosophy,1
CentraleSupelec - Ecole Centrale Paris,EX2040,Exchange UEM,2,MG2818,Introduction to Petroleum Exploration and Production,3
CentraleSupelec - Ecole Centrale Paris,EX2030,Exchange UEM,2,SH3300,"Seminar:Science, Techonology, Society",2
CentraleSupelec - Ecole Centrale Paris,EX4885,Exchange UEM 6,2,EN2910,Aircraft Design,3
CentraleSupelec - Ecole Centrale Paris,IE4702,Exchange Elective,2,SE2800,Production Planning and Scheduling,3
CentraleSupelec - Ecole Centrale Paris,IE4912,Exchange Technical Elective,2,SE2550,Introduction to Purchasing,3
CentraleSupelec - Ecole Centrale Paris,IE4885,Exchange Elective,2,SE1950,Llenroc Plastics:Market-driven Integration of Manufacturing and distribution systems,3
CentraleSupelec - Ecole Centrale Paris,EX3619,Exchange UEM,2,2EL1520,Object Oriented Software Engineering,3
CentraleSupelec - Ecole Centrale Paris,IE4892,Exchange Elective,2,SE2500,Modeling and Analysis of Supply Chain,3
CentraleSupelec - Ecole Centrale Paris,IE4514,Exchange Elective,2,PH2821,Applications of Statistical Physics to Complex Socio-economical Systems,3
CentraleSupelec - Ecole Centrale Paris,IE4012,Department Exchange Module,2,2EL1580,Artificial Intelligence,3
CentraleSupelec - Ecole Centrale Paris,EX4889,Exchange UEM,6,WP5200,Innovation Project S8,9
CentraleSupelec - Ecole Centrale Paris,EX2011,Exchange UEM,1,SH3200,Seminar Series: Management,1
CentraleSupelec - Ecole Centrale Paris,IE4002,Department Exchange Module,2,SE2750,Stochastic Modeling and Theory of Queues and their Applications,3
CentraleSupelec - Ecole Centrale Paris,IE4502,Exchange Elective,2,SE2650,Risk Assessment and Management,3
CentraleSupelec - Ecole Centrale Paris,IE4112,Department Exchange Module,2,SE2500,Demand Forecasting and Inventory Management,3
CentraleSupelec - Ecole Centrale Paris,IE4010,Exchange Elective,2,2SC7210,Optimisation of Network Infrastructures,3
CentraleSupelec - Ecole Centrale Paris,EX4049,Exchange UEM,2,IS1240,High Performance Computing for Engineering and Finance,3
CentraleSupelec - Ecole Centrale Paris,EX2043,Exchange UEM,2,WL2100,Innovating Leadership,3
CentraleSupelec - Ecole Centrale Paris,EX3614,Exchange UEM Module,1,SH3400,Seminar Series: International and Intercultural,2
CentraleSupelec - Ecole Centrale Paris,EX2030,Exchange UEM,2,PR4300,Cogeneration and Energy Production,3
CentraleSupelec - Ecole Centrale Paris,EX2041,Exchange UEM,2,PH2812,Introduction to Atomic and Molecular Physics,3
CentraleSupelec - Ecole Centrale Paris,IE4513,Exchange Elective,2,MA2827,Foundations of Discrete Optimisation,3
CentraleSupelec - Ecole Centrale Paris,IE3911,IE3 Technical Elective,2,MA2814,Introduction to Random Modeling,3
CentraleSupelec - Ecole Centrale Paris,EX4048,Exchange UEM,2,MA2500,Signal Processing and Sparsity,3
CentraleSupelec - Ecole Centrale Paris,IE4512,Exchange Elective,2,SE2700,Modeling for Decision Making,3
Chalmers University of Technology,CS4249,Phenomena and Theories of Human-Computer Interaction,4,TDA486,Human-centred design,7.5
Chalmers University of Technology,CS3243,Introduction to Artificial Intelligence,4,MMS131,Introduction to artificial intelligence,7.5
Chalmers University of Technology,CS2105,Intro to Computer Networks,4,EDA334,Computer communication,7.5
Chalmers University of Technology,CS3240,Interaction Design,4,DAT420,Human - computer interaction,7.5
