PC3241,Solid State Devices,4
PC3243,Photonics,4
PC3246,Astrophysics I,4
PC3247,Modern Optics,4
PC3251,Nanophysics,4
PC3274,Math'cal Mtds In Physics II,4
PC3991,Exchange Enrichment Module,4
PC4228,Device Physics for Quantum Tec,4
PC4241,Statistical Mechanics,4
PC4245,Particle Physics,4
PC4246,Quantum Optics,4
PC4248,General Relativity,4
PC4249,Astrophysics II,4
PC4253,Thin Film Technology,4
PC4259,Surface Physics,4
PC4264,Advanced Solid State Devices,4
PC4268,Biophy Instru &Biomo'lar Elec,4
PC4991,Exchange Enrichment Module,4
PF2203,Quality and Productivity Mgmt,4
PF2504,Materials Technology,4
PF3201,Measurement (Specialist Works),4
PF3301,Maintainability of Facilities,4
PF3305,Facilities Planning and Desig,4
PF4202,"Safety, Health and Environment",4
PF4206,Building Information Modelling,4
PF4305,Green Development,4
PR1991,Exchange Enrichment Level 1000,4
PR2115,Medicinal Chemistry for Drug D,4
PR2991,Exchange Enrichment Module,4
PS1721,Department exchange module,4
PS2203,Ancient Western Pol Thought,4
PS2204,Modern Western Pol Thought,4
PS2234,Intro to Comparative Politics,4
PS2237,Intro to International Relatns,4
PS2238,Int'l Politics of NE Asia,4
PS2239,Foreign Policy and Diplomacy,4
PS2240,Intro to Public Administration,4
PS2245,Southeast Asian Politics,4
PS2248,Chinese Politics,4
PS2254,American Gvrnmnt and Politics,4
PS2255,Politics of the Middle East,4
PS2256,Politics on Screen,4
PS2701,Political Science Exchange Mod,4
PS2702,Political Science Exchange Mod,4
PS2711,Department Exchange Module,4
PS2722,Department Exchange Module,2
PS2741,Department Exchange Module,4
PS2742,Department Exchange Module,4
PS2745,Department Exchange Module,4
PS2843,Department exchange module,4
PS3237,Women and Politics,4
PS3238,Int'l Political Economy,4
PS3239,Int'l Conflict Analysis,4
PS3240,International Security,4
PS3242,US Foreign Policy,4
PS3243,Public Sector Orgnl Behaviour,4
PS3245,Public Personnel Adm,4
PS3246,Public Ethics and Corruption,4
PS3251,International Organisations,4
PS3252,Human Rights in Int'l Politics,4
PS3257,Political Inquiry,4
PS3258,Research Methods in Pol Sci,4
PS3262,Managing Non-Profit Orgns,4
PS3263,Comp Study of Development,4
PS3265,Civil?Military Relations,4
PS3271,Public Policy-Making,4
PS3272,The Intl Relns of Sub-Saharan,4
PS3701,Political Science Exchange Mod,4
PS3702,Political Science Exchange Mod,4
PS3704,POLITICAL SCIENCE EXCHANGE MOD,4
PS3705,POLITICAL SCIENCE EXCHANGE MOD,4
PS3706,Political Science Exchange Mod,4
PS3711,Department Exchange Module,4
PS3713,Department exchange module,4
PS3721,Department Exchange Module,4
PS3731,Department Exchange Module,4
PS3741,Department Exchange Module,4
PS3742,Department Exchange Module,4
PS3745,Department Exchange Module,4
PS3749,Department exchange module,4
PS3843,Department exchange module,4
PS3880H,The Politics of European Integ,4
PS4201,Contemp Issues in Pol Theory,5
PS4203,China's Foreign Policy,5
PS4206,Regional Security in Asia-Pac,4
PS4208,Theories of Int'l Relations,5
PS4209,Public Orgn Theory & Practice,5
PS4215,Politics of Non-Violence,5
PS4216,The Study of War,5
PS4218,European Foreign Policy,5
PS4221,Contemp Politics of NE Asia,5
PS4224,State and Society,5
PS4225,Contemporary Issues in Chinese,5
PS4228,Comparative Democratic Politic,5
PS4701,POLITICAL SCIENCE EXCHANGE MOD,5
PS4751,Department exchange module,5
PS4752,Department exchange module,5
PS4753,Department exchange module,5
PS4882,Topics in International Relati,5
PS4882A,"Tpc in IR:Glbn,Security &State",5
PS4882E,Topics in IR: Arms Control,5
PS4884,Topics in Public Administratn,5
QF3101,Inv Instru and Risk Mgmt,4
QF3991,Exchange Enrichment Module,4
QF4102,Financial Modelling and Comput,4
ST1131,Intro to Stats and Stat Comp,4
ST2131,Probability,4
ST2132,Mathematical Statistics,4
ST2137,Computer Aided Data Analysis,4
ST2334,Probability and Statistics,4
ST2991,Exchange Enrichment Module,4
ST3131,Regression Analysis,4
ST3232,Design & Analysis Of Experimts,4
ST3234,Actuarial Statistics,4
ST3235,Statistical Quality Control,4
ST3236,Stochastic Processes I,4
ST3239,Survey Methodology,4
ST3246,Stats Models for Actuarial Sci,4
ST3247,Simulation,4
ST3248,Statistical Learning I,4
ST3991,Exchange Enrichment Module,4
ST4231,Computer Intensive Stats Mtds,4
ST4232,Nonparametric Statistics,4
ST4233,Linear Models,4
